id_solicitud_viaje,Fecha_creacion,Hora,Lugar_carga,Lugar_destino,Detalle,Ref,N_contenedor,Vencimiento,Estado,Observaciones,id_usuario
21,2025-03-28,9:38,4 Annamark Crossing,San Diego,Farming/Seeds/Milling,894,BA2360,2025-04-03,CONFIRMADO,Dragline,9
22,2025-03-28,11:26,01979 Rowland Point,Polen,Real Estate Investment Trusts,492,AZ6701,2025-04-10,PENDIENTE,Dump Truck,7
23,2025-03-29,8:18,393 Browning Point,Liuhe,n/a,576,BA4091,2025-04-11,CANCELADO,Skid-Steer,4
24,2025-03-29,18:46,99 Prairieview Parkway,Capanema,n/a,728,AV9215,2025-04-07,CONFIRMADO,Skid-Steer,7
25,2025-03-29,15:11,4 Iowa Trail,Caridade,Biotechnology: In Vitro & In Vivo Diagnostic Substances,599,AM9204,2025-04-09,PENDIENTE,Scraper,9
26,2025-03-28,16:36,364 Westridge Parkway,Pontes e Lacerda,Consumer Electronics/Video Chains,726,NZ1569,2025-04-05,CANCELADO,Skid-Steer,9
27,2025-03-30,16:39,742 Del Sol Plaza,Bayeman,"Computer Software: Programming, Data Processing",547,LA7080,2025-04-14,CANCELADO,Dump Truck,8
28,2025-03-28,15:37,04612 Judy Way,Sumber,Industrial Machinery/Components,345,WN8983,2025-04-06,CONFIRMADO,Compactor,4
29,2025-03-28,14:55,6762 Scott Point,Ust-Kalmanka,Major Banks,395,UA8685,2025-04-08,CANCELADO,Grader,7
30,2025-03-28,8:46,91083 Pierstorff Street,Kansas City,Restaurants,378,NZ9369,2025-04-12,CONFIRMADO,Crawler,6
31,2025-03-31,16:35,32847 Homewood Street,Calheta,Major Pharmaceuticals,860,DL3408,2025-04-08,CANCELADO,Excavator,3
32,2025-03-31,19:22,719 Bashford Court,Santo Tomas,Marine Transportation,663,AI6865,2025-04-13,PENDIENTE,Skid-Steer,6
33,2025-03-28,13:31,20285 Prairie Rose Parkway,Jinhua,n/a,836,AM9465,2025-04-09,CONFIRMADO,Dump Truck,9
34,2025-03-31,19:01,41304 Rowland Pass,Jieshou,Other Consumer Services,680,NH1887,2025-04-10,PENDIENTE,Dragline,9
35,2025-03-29,19:24,69286 Heffernan Terrace,Nanhai,Major Pharmaceuticals,463,AA4011,2025-04-04,CONFIRMADO,Grader,1
36,2025-03-30,19:21,5 Magdeline Parkway,Jaguimitan,Homebuilding,754,SQ4019,2025-04-03,CANCELADO,Trencher,9
37,2025-03-31,10:56,33 Main Circle,Suzemka,Major Pharmaceuticals,427,BA9448,2025-04-03,CANCELADO,Scraper,3
38,2025-03-28,18:57,71 Moulton Place,Bagansiapiapi,Shoe Manufacturing,548,KL3008,2025-04-04,CONFIRMADO,Bulldozer,7
39,2025-03-30,17:28,86267 Packers Trail,Moya,n/a,357,TG7112,2025-04-10,PENDIENTE,Crawler,7
40,2025-03-30,14:34,3 Gerald Road,Honggang,n/a,852,QF2863,2025-04-04,CONFIRMADO,Compactor,7
41,2025-03-31,12:12,9 Rieder Plaza,Davyd-Haradok,"Computer Software: Programming, Data Processing",442,CX1145,2025-04-02,CANCELADO,Skid-Steer,3
42,2025-03-28,11:53,0351 Corben Alley,Chancay,Auto Parts:O.E.M.,670,KL8886,2025-04-02,CONFIRMADO,Skid-Steer,2
43,2025-03-28,11:33,6 Bayside Parkway,Kalemie,n/a,471,LA2475,2025-04-07,PENDIENTE,Scraper,11
44,2025-03-30,17:57,83 Myrtle Junction,Dacheng,Paper,852,SK5287,2025-04-12,CONFIRMADO,Compactor,10
45,2025-03-29,11:53,1958 Clarendon Hill,Kulashi,Industrial Machinery/Components,651,SA3472,2025-04-09,PENDIENTE,Dragline,10
46,2025-03-30,13:53,0078 Hazelcrest Point,Blagnac,Electrical Products,458,QF4102,2025-04-04,PENDIENTE,Grader,1
47,2025-03-30,17:49,051 Lighthouse Bay Place,Ranong,Wholesale Distributors,668,AF9908,2025-04-03,PENDIENTE,Scraper,6
48,2025-03-29,8:04,934 Blue Bill Park Alley,La Esperanza,Industrial Machinery/Components,680,EK8848,2025-04-08,PENDIENTE,Skid-Steer,3
49,2025-03-28,18:53,79 Meadow Valley Avenue,Larvik,n/a,740,NH2788,2025-04-11,CONFIRMADO,Dragline,4
50,2025-03-29,11:00,8 Mifflin Park,Petrovskoye,n/a,722,TG4154,2025-04-05,CONFIRMADO,Dump Truck,3
51,2025-03-29,11:29,78 Waywood Park,Ar,n/a,645,LH9130,2025-04-08,CANCELADO,Dump Truck,6
52,2025-03-30,10:45,3 Bunker Hill Place,Taozixi,n/a,560,LA2448,2025-04-10,PENDIENTE,Skid-Steer,1
53,2025-03-31,15:08,30 Melrose Trail,Fundacion,Major Pharmaceuticals,797,LH5129,2025-04-04,PENDIENTE,Dump Truck,9
54,2025-03-31,19:27,91627 Fair Oaks Circle,Kuzhu,n/a,853,AI8841,2025-04-07,CANCELADO,Trencher,4
55,2025-03-28,16:47,4 Dexter Street,Ciechanowiec,Computer Software: Prepackaged Software,861,LH3073,2025-04-07,PENDIENTE,Bulldozer,8
56,2025-03-31,15:34,2338 Barnett Street,Perdoes,Major Banks,833,AV9867,2025-04-10,PENDIENTE,Crawler,7
57,2025-03-29,17:21,1 East Alley,Trinidad,Industrial Machinery/Components,718,AV3620,2025-04-03,CANCELADO,Grader,2
58,2025-03-30,16:43,89 Corry Street,Jos,Textiles,458,QR9778,2025-04-07,CONFIRMADO,Backhoe,8
59,2025-03-29,16:50,81 Brown Trail,Tapera,Biotechnology: Laboratory Analytical Instruments,863,UA6785,2025-04-05,CONFIRMADO,Dump Truck,6
